timestamp,unix_time,cpu_load,ram_usage,ambient_temp,cpu_temp
2026-01-31 17:02:39,1769859159,97.7,24.6,25.69,87.0
2026-01-31 17:02:41,1769859161,50.8,24.6,25.68,87.0
2026-01-31 17:02:42,1769859162,100.0,24.5,25.66,87.5
2026-01-31 17:02:44,1769859164,50.7,24.5,25.64,86.62
2026-01-31 17:02:46,1769859166,100.0,24.5,25.62,87.62
2026-01-31 17:02:47,1769859167,50.9,24.5,25.61,87.62
2026-01-31 17:02:49,1769859169,99.8,24.5,25.59,88.25
2026-01-31 17:02:50,1769859170,50.5,24.5,25.57,88.12
2026-01-31 17:02:52,1769859172,96.3,24.5,25.55,88.62
2026-01-31 17:02:53,1769859173,77.5,24.5,25.53,88.62
2026-01-31 17:02:55,1769859175,63.7,24.5,25.51,88.5
2026-01-31 17:02:56,1769859176,92.5,24.5,25.49,88.88
2026-01-31 17:02:58,1769859178,50.5,24.5,25.47,88.75
2026-01-31 17:02:59,1769859179,99.7,25.5,25.44,89.5
2026-01-31 17:03:01,1769859181,53.8,25.6,25.42,90.0
2026-01-31 17:03:03,1769859183,99.7,25.6,25.4,90.0
2026-01-31 17:03:04,1769859184,55.0,25.6,25.38,89.62
2026-01-31 17:03:06,1769859186,99.7,25.7,25.36,89.88
2026-01-31 17:03:07,1769859187,53.7,25.8,25.34,89.75
2026-01-31 17:03:09,1769859189,99.8,25.9,25.31,90.0
2026-01-31 17:03:10,1769859190,51.4,25.0,25.29,89.88
2026-01-31 17:03:12,1769859192,95.3,24.9,25.27,90.62
2026-01-31 17:03:13,1769859193,78.5,24.9,25.24,90.62
2026-01-31 17:03:15,1769859195,57.5,24.9,25.22,90.25
2026-01-31 17:03:16,1769859196,99.3,24.8,25.19,90.88
2026-01-31 17:03:18,1769859198,50.6,24.8,25.17,90.88
2026-01-31 17:03:19,1769859199,99.7,24.8,25.14,91.12
2026-01-31 17:03:21,1769859201,50.6,24.7,25.12,91.0
2026-01-31 17:03:23,1769859203,100.0,24.7,25.09,91.38
2026-01-31 17:03:24,1769859204,51.7,24.7,25.07,91.12
2026-01-31 17:03:26,1769859206,100.0,24.7,25.04,91.62
2026-01-31 17:03:27,1769859207,50.2,24.6,25.01,91.38
2026-01-31 17:03:29,1769859209,99.7,24.6,24.99,92.0
2026-01-31 17:03:30,1769859210,53.1,24.8,24.96,91.75
2026-01-31 17:03:32,1769859212,93.2,24.8,24.93,92.38
